time,GPS_lat,GPS_long,accelx,accely,accelz
1552636576.369658,0,0,0.004549,0.006536,0.099376
1552636576.387850,0,0,0.004524,0.006487,0.099550
1552636576.406069,0,0,0.004401,0.006487,0.099624
1552636576.423546,0,0,0.004623,0.006462,0.099599
1552636576.948967,0,0,0.004524,0.006412,0.099898
1552636576.993307,0,0,0.004648,0.006412,0.099972
1552636577.029912,0,0,0.004500,0.006313,0.100072
1552636577.048402,0,0,0.004673,0.006388,0.099997
1552636577.066561,0,0,0.004648,0.006412,0.099997
1552636577.086351,0,0,0.004598,0.006388,0.100221
1552636577.104561,0,0,0.004598,0.006338,0.100096
1552636577.122816,0,0,0.004450,0.006462,0.100171
1552636577.146142,0,0,0.004549,0.006511,0.099947
1552636577.194223,0,0,0.004549,0.006338,0.100320
1552636577.230172,0,0,0.004450,0.006610,0.100246
1552636577.248507,0,0,0.004524,0.006462,0.100345
1552636577.266901,0,0,0.004549,0.006412,0.100146
1552636577.285840,0,0,0.004673,0.006511,0.100072
1552636577.303995,0,0,0.004549,0.006338,0.100196
1552636577.322166,0,0,0.004598,0.006437,0.100221
1552636577.350213,0,0,0.004623,0.006536,0.100295
1552636577.376303,0,0,0.004648,0.006462,0.100221
1552636577.406806,0,0,0.004623,0.006388,0.100171
1552636577.425102,0,0,0.004475,0.006388,0.100320
1552636577.443192,0,0,0.004500,0.006462,0.100171
1552636577.462163,0,0,0.004425,0.006462,0.100295
1552636577.480463,0,0,0.004549,0.006437,0.100171
1552636577.547231,0,0,0.004598,0.006412,0.100370
1552636577.586515,0,0,0.004450,0.006437,0.100270
1552636577.608155,0,0,0.004648,0.006412,0.100246
1552636577.628527,0,0,0.004574,0.006462,0.100395
1552636577.648752,0,0,0.004623,0.006511,0.100544
1552636577.675421,0,0,0.004648,0.006437,0.100221
1552636577.703229,0,0,0.004623,0.006289,0.100221
1552636577.756240,0,0,0.004475,0.006388,0.100420
1552636577.777020,0,0,0.004623,0.012651,0.100494
1552636577.797601,0,0,0.004648,0.006487,0.100469
1552636577.818159,0,0,0.004524,0.006487,0.100370
1552636577.837826,0,0,0.004524,0.006462,0.100295
1552636577.857903,0,0,0.004598,0.006511,0.100295
1552636577.895530,0,0,0.004673,0.006412,0.100544
1552636577.931894,0,0,0.004673,0.006462,0.100270
1552636577.951277,0,0,0.004401,0.006338,0.100345
1552636577.969781,0,0,0.004598,0.006338,0.100121
1552636577.988430,0,0,0.004574,0.006363,0.100494
1552636578.006458,0,0,0.004425,0.006412,0.100469
1552636578.024325,0,0,0.004549,0.006313,0.100519
1552636578.087468,0,0,0.004673,0.006487,0.100569
1552636578.126403,0,0,0.004549,0.006511,0.100345
1552636578.164295,0,0,0.004598,0.006437,0.100618
1552636578.183527,0,0,0.004747,0.006388,0.100395
1552636578.203440,0,0,0.004771,0.006437,0.100494
1552636578.233343,0,0,0.004425,0.006437,0.100320
1552636578.252755,0,0,0.004450,0.012627,0.100246
1552636578.325433,0,0,0.004623,0.006586,0.100544
1552636578.367902,0,0,0.004673,0.006487,0.100544
1552636578.386463,0,0,0.004425,0.006709,0.100643
1552636578.416194,0,0,0.004475,0.006412,0.100743
1552636578.450444,0,0,0.004648,0.006289,0.100593
1552636578.487912,0,0,0.004771,0.006437,0.100618
1552636578.530355,0,0,0.004549,0.006264,0.100618
1552636578.548525,0,0,0.004549,0.006388,0.100494
1552636578.567904,0,0,0.004697,0.006313,0.100544
1552636578.589598,0,0,0.004574,0.006536,0.100544
1552636578.622783,0,0,0.004524,0.006511,0.100444
1552636578.677648,0,0,0.004722,0.006388,0.100618
1552636578.717707,0,0,0.004623,0.006437,0.100519
1552636578.753196,0,0,0.004549,0.006363,0.100743
1552636578.776192,0,0,0.004425,0.006437,0.100569
1552636578.796278,0,0,0.004524,0.006412,0.100618
1552636578.827816,0,0,0.004747,0.006610,0.100569
1552636578.848358,0,0,0.004623,0.006462,0.100569
1552636578.899897,0,0,0.004648,0.006437,0.100643
1552636578.918849,0,0,0.004500,0.006511,0.100668
1552636578.953846,0,0,0.004524,0.006511,0.100693
1552636578.976085,0,0,0.004524,0.006487,0.100469
1552636578.998058,0,0,0.004475,0.006338,0.100569
1552636579.050517,0,0,0.004771,0.006437,0.100643
1552636579.089836,0,0,0.004326,0.006412,0.100668
1552636579.124989,0,0,0.004351,0.006412,0.100593
1552636579.160779,0,0,0.004623,0.006388,0.100420
1552636579.192228,0,0,0.004500,0.006437,0.100668
1552636579.244727,0,0,0.004623,0.006289,0.100569
1552636579.281769,0,0,0.004524,0.006264,0.100494
1552636579.308847,0,0,0.004549,0.000149,0.100693
1552636579.330733,0,0,0.004598,0.006313,0.100867
1552636579.351227,0,0,0.004500,0.006561,0.100593
1552636579.388703,0,0,0.004574,0.006561,0.100941
1552636579.440351,0,0,0.004450,0.006412,0.100693
1552636579.489784,0,0,0.004475,0.006412,0.100345
1552636579.528374,0,0,0.004401,0.006388,0.100544
1552636579.548837,0,0,0.004500,0.006363,0.100618
1552636579.579436,0,0,0.004673,0.006214,0.100643
