time,GPS_lat,GPS_long,accelx,accely,accelz
1552637024.655734,0,0,0.054612,-0.016997,0.080564
1552637024.673316,0,0,0.057801,-0.019113,0.080018
1552637024.691002,0,0,0.058518,-0.018941,0.079769
1552637024.715189,0,0,0.057777,-0.018941,0.079024
1552637024.732862,0,0,0.056219,-0.018153,0.079048
1552637024.755678,0,0,0.055502,-0.018129,0.079347
1552637024.800747,0,0,0.056343,-0.018818,0.079396
1552637024.821311,0,0,0.055428,-0.018867,0.078999
1552637024.838991,0,0,0.055403,-0.018399,0.078725
1552637024.856789,0,0,0.055527,-0.018621,0.078874
1552637024.874403,0,0,0.055997,-0.018965,0.079570
1552637024.891808,0,0,0.056442,-0.019137,0.079694
1552637024.910776,0,0,0.056813,-0.018768,0.079595
1552637024.946947,0,0,0.056318,-0.018719,0.079421
1552637024.965817,0,0,0.055972,-0.019211,0.079521
1552637024.994341,0,0,0.056763,-0.019285,0.079222
1552637025.013314,0,0,0.056368,-0.018891,0.079247
1552637025.036064,0,0,0.056145,-0.018719,0.079471
1552637025.054997,0,0,0.055576,-0.018916,0.079098
1552637025.072933,0,0,0.055478,-0.018473,0.079098
1552637025.109077,0,0,0.055379,-0.018153,0.079197
1552637025.147312,0,0,0.056120,-0.018645,0.080589
1552637025.164820,0,0,0.056120,-0.018547,0.080564
1552637025.182248,0,0,0.056170,-0.018276,0.080117
1552637025.199707,0,0,0.055749,-0.024844,0.078974
1552637025.217195,0,0,0.056219,-0.019088,0.079024
1552637025.234708,0,0,0.056318,-0.018842,0.079620
1552637025.253346,0,0,0.055527,-0.012840,0.079545
1552637025.289777,0,0,0.054884,-0.018867,0.079694
1552637025.324978,0,0,0.054538,-0.018941,0.079496
1552637025.342366,0,0,0.054143,-0.019064,0.079197
1552637025.359616,0,0,0.054241,-0.018941,0.079073
1552637025.376973,0,0,0.055008,-0.019211,0.079371
1552637025.394334,0,0,0.055651,-0.019359,0.079645
1552637025.411919,0,0,0.056343,-0.019654,0.079595
1552637025.431943,0,0,0.056145,-0.019752,0.079347
1552637025.467202,0,0,0.055923,-0.019629,0.079446
1552637025.484972,0,0,0.055280,-0.018965,0.079521
1552637025.502583,0,0,0.054934,-0.018842,0.079222
1552637025.520115,0,0,0.055700,-0.019039,0.079993
1552637025.537589,0,0,0.055848,-0.019457,0.080539
1552637025.554977,0,0,0.055675,-0.013012,0.081608
1552637025.574732,0,0,0.056194,-0.012668,0.081409
1552637025.610016,0,0,0.056096,-0.019334,0.080216
1552637025.627673,0,0,0.054736,-0.019457,0.079744
1552637025.645637,0,0,0.053549,-0.019629,0.079297
1552637025.663288,0,0,0.052560,-0.019802,0.078800
1552637025.680812,0,0,0.051646,-0.019310,0.078874
1552637025.704792,0,0,0.050879,-0.018965,0.079521
1552637025.724521,0,0,0.050508,-0.019137,0.080291
1552637025.772834,0,0,0.056788,-0.018645,0.081086
1552637025.812593,0,0,0.051299,-0.018547,0.082279
1552637025.837432,0,0,0.050830,-0.017539,0.082801
1552637025.857598,0,0,0.049519,-0.016456,0.082478
1552637025.877032,0,0,0.049594,-0.016235,0.081608
1552637025.898872,0,0,0.056911,-0.017293,0.080490
1552637025.926954,0,0,0.052214,-0.017735,0.080018
1552637025.964845,0,0,0.050236,-0.017145,0.079173
1552637025.984571,0,0,0.050088,-0.016678,0.079570
1552637026.014185,0,0,0.052362,-0.017932,0.082353
1552637026.034461,0,0,0.053920,-0.019187,0.083198
1552637026.052695,0,0,0.054835,-0.019064,0.083745
1552637026.072045,0,0,0.053648,-0.017760,0.084764
1552637026.090790,0,0,0.052313,-0.016505,0.088044
1552637026.118211,0,0,0.051423,-0.017784,0.088740
1552637026.160436,0,0,0.050137,-0.018793,0.083472
1552637026.178512,0,0,0.045663,-0.017760,0.082701
1552637026.197157,0,0,0.043883,-0.016973,0.082602
1552637026.219233,0,0,0.042498,-0.017194,0.082279
1552637026.242624,0,0,0.041806,-0.018252,0.080390
1552637026.263123,0,0,0.041460,-0.018891,0.077905
1552637026.304739,0,0,0.041311,-0.018768,0.078228
1552637026.348752,0,0,0.043759,-0.016628,0.082030
1552637026.373424,0,0,0.040595,-0.014710,0.080465
1552637026.392986,0,0,0.034982,-0.015325,0.079024
1552637026.419449,0,0,0.031497,-0.016653,0.079347
1552637026.438765,0,0,0.028208,-0.018153,0.084093
1552637026.460907,0,0,0.026676,-0.021622,0.088144
1552637026.501168,0,0,0.023857,-0.027107,0.084317
1552637026.540577,0,0,0.025415,-0.043121,0.093635
